"自動車・輸送機","14"
"銀行","9"
"電機・精密","34"
"商社・卸売","8"
"素材・化学","14"
"情報通信・サービスその他","25"
"金融（除く銀行）","11"
"医薬品","8"
"機械","11"
"食品","10"
"小売","10"
"不動産","5"
"鉄鋼・非鉄","6"
"運輸・物流","13"
"建設・資材","10"
"エネルギー資源","3"
"電気・ガス","6"
